FCS.E4R1.16S_Stalk	ECI.E3R3.16S_Stalk	FFO.E2R2.16S_Leaf	ECM.E2R2.16S_Stalk	FCM.E4R2.16S_Stalk	EFO.E2R1.16S_Leaf	FCI.E3R2.16S_Stalk	ECI.E2R2.16S_Stalk	RZO.E4R3.16S_Root	FCM.E1R2.16S_Stalk	EPE.E3R2.16S_Root	ERA.E4R2.16S_Root	FCS.E2R3.16S_Stalk	FCI.E2R2.16S_Stalk	FCM.E1R3.16S_Stalk	FFO.E4R1.16S_Leaf	FCS.E3R3.16S_Stalk	EFO.E4R1.16S_Leaf	FFO.E3R1.16S_Leaf	FCS.E3R2.16S_Stalk	FCI.E1R3.16S_Stalk	FFO.E3R2.16S_Leaf	EFO.E4R3.16S_Leaf	EPE.E1R1.16S_Root	FCS.E1R3.16S_Stalk	EPE.E2R3.16S_Root	RZO.E3R1.16S_Root	EFO.E1R1.16S_Leaf	ECM.E4R1.16S_Stalk	FCM.E2R3.16S_Stalk	RZO.E4R1.16S_Root	EPE.E2R1.16S_Root	FCM.E3R2.16S_Stalk	FCI.E4R1.16S_Stalk	ECS.E1R1.16S_Stalk	ECM.E2R3.16S_Stalk	ECM.E4R3.16S_Stalk	ECM.E3R1.16S_Stalk	RZO.E4R2.16S_Root	FCM.E3R3.16S_Stalk	FFO.E4R3.16S_Leaf	RZO.E1R1.16S_Root	EPE.E4R2.16S_Root	EFO.E1R2.16S_Leaf	ECI.E3R1.16S_Stalk	FCS.E3R1.16S_Stalk	EFO.E2R2.16S_Leaf	EFO.E1R3.16S_Leaf	FCS.E1R1.16S_Stalk	FCI.E2R1.16S_Stalk	RZO.E2R1.16S_Root	FFO.E3R3.16S_Leaf	FCM.E1R1.16S_Stalk	EFO.E4R2.16S_Leaf	ECM.E2R1.16S_Stalk	FCS.E2R1.16S_Stalk	FCI.E3R3.16S_Stalk	RZO.BK2.16S_Root	RZO.E3R2.16S_Root	FCS.E2R2.16S_Stalk	RZO.BK3.16S_Root	RZO.E2R3.16S_Root	RZO.E3R3.16S_Root	ECS.E1R2.16S_Stalk	ERA.E2R2.16S_Root	EPE.E4R3.16S_Root	ECS.E2R3.16S_Stalk	ECM.E1R2.16S_Stalk	FCI.E1R2.16S_Stalk	ECS.E1R3.16S_Stalk	EFO.E3R1.16S_Leaf	ERA.E3R2.16S_Root	EPE.E1R2.16S_Root	RZO.E1R3.16S_Root	ECM.E4R2.16S_Stalk	EPE.E4R1.16S_Root	ECI.E1R2.16S_Stalk	RZO.BK4.16S_Root	FCM.E2R1.16S_Stalk	ERA.E4R1.16S_Root	FCI.E4R2.16S_Stalk	FFO.E4R2.16S_Leaf	ERA.E2R1.16S_Root	FCM.E4R3.16S_Stalk	FCS.E1R2.16S_Stalk	ECI.E4R2.16S_Stalk	ERA.E2R3.16S_Root	ECI.E1R1.16S_Stalk	EPE.E3R3.16S_Root	ECI.E2R3.16S_Stalk	EFO.E3R3.16S_Leaf	ECM.E1R3.16S_Stalk	RZO.E1R2.16S_Root	ECM.E1R1.16S_Stalk	FCI.E2R3.16S_Stalk	FCM.E4R1.16S_Stalk	FCI.E1R1.16S_Stalk	ERA.E1R1.16S_Root	FCI.E3R1.16S_Stalk	ERA.E3R1.16S_Root	EFO.E3R2.16S_Leaf	ERA.E3R3.16S_Root	ECI.E3R2.16S_Stalk	ECI.E4R3.16S_Stalk	FCM.E2R2.16S_Stalk	ECS.E2R1.16S_Stalk	ECS.E3R1.16S_Stalk	ECM.E3R3.16S_Stalk	ERA.E1R3.16S_Root	RZO.BK1.16S_Root	ECI.E1R3.16S_Stalk	ERA.E4R3.16S_Root	FCM.E3R1.16S_Stalk	FCS.E4R3.16S_Stalk	ECS.E2R2.16S_Stalk	EPE.E1R3.16S_Root	ERA.E1R2.16S_Root	EPE.E2R2.16S_Root	EFO.E2R3.16S_Leaf	FCI.E4R3.16S_Stalk	EPE.E3R1.16S_Root	RZO.E2R2.16S_Root	ECS.E4R2.16S_Stalk	ECI.E4R1.16S_Stalk	FCS.E4R2.16S_Stalk	FFO.E2R3.16S_Leaf	ECM.E3R2.16S_Stalk
OTU_1239	0	0	0	0	1	0	1	0	2	0	3	7	0	9	0	0	0	0	0	0	24	0	0	30	1	0	0	0	0	0	6	0	0	0	0	0	0	0	23	0	8	12	3	0	0	0	0	0	0	7	19	0	0	0	0	0	1	1478	18	0	1	30	39	0	13	1	0	0	487	0	0	15	4	46	0	1	1	1452	5	5	0	0	1	0	0	1	9	0	0	0	0	1	76	0	39	3	41	9	0	2	0	27	0	1	0	0	0	0	30	15501	0	8	0	0	0	7	6	3	0	0	2	23	0	0	0	0	0
OTU_1665	0	0	0	0	2	0	0	0	1	0	2	1	0	2	0	0	0	0	0	0	43	0	0	4	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	5	11	0	0	0	0	0	0	29	4	0	0	0	0	0	1	185	7	0	0	0	1	0	8	1	0	0	173	9	0	16	4	13	0	0	0	18	12	6	1	0	3	0	0	0	11	0	1	0	0	1	21	0	42	5	42	0	5	1	0	4	0	0	1	0	0	0	5	598	0	7	0	0	0	5	5	3	0	1	2	1	0	0	1	0	0
OTU_10046	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	12	1	0	0	0	0	0	0	68	0	0	0	0	0	0	1	0	0	0	4	0	0	0	1	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	4	0	2	0	0	0	0	0	0	0	0	0
OTU_4420	0	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	12	0	0	1	0	1	3	0	0	0	0	2	0	0	0	0	0	0	0	0	0	7	21	0	0	0	0	0	0	0	9	0	0	0	0	0	0	73	23	0	0	0	1	0	6	1	0	0	4	0	0	35	1	0	0	0	0	202	0	4	0	0	28	0	0	0	20	1	17	0	0	0	1	0	90	0	5	0	0	0	0	5	0	0	0	0	0	0	0	32	0	1	0	0	0	1	1	0	0	0	2	0	0	0	0	0	0
OTU_7216	0	0	0	0	1	0	0	0	1	1	0	5	0	4	0	0	0	0	0	0	38	0	0	13	0	3	0	0	0	0	3	6	0	0	0	0	0	0	1	0	0	0	158	0	0	0	0	0	0	7	2	0	0	0	0	0	6	0	29	0	0	0	1	0	3	14	0	0	28	0	0	37	12	2	0	1	0	19	4	9	0	0	6	0	0	1	17	0	72	0	0	0	3	0	386	1	13	0	0	2	0	8	0	0	0	0	0	0	2	0	0	3	0	0	0	22	5	19	0	0	22	0	0	0	0	0	0
OTU_1710	0	0	0	0	4	0	0	0	10	0	2	12	0	10	0	0	0	0	4	0	6	0	0	11	13	0	7	0	0	0	11	3	0	0	0	0	0	0	2	0	0	19	17	0	0	0	0	0	0	41	14	1	0	0	0	0	11	3040	69	0	0	10	3	0	4	16	0	0	378	0	0	24	21	27	0	3	4	1509	12	16	1	0	5	0	0	0	6	0	3	0	0	0	66	0	65	6	46	7	2	4	0	11	0	3	0	0	0	0	4	1215	0	23	0	0	0	20	5	10	0	0	4	6	0	0	0	0	0
OTU_6395	0	0	0	0	2	0	0	0	4	0	1	249	0	10	0	0	0	0	0	0	53	0	0	17	0	0	3	0	0	0	14	6	0	0	0	0	0	0	4	0	0	10	58	0	0	0	0	0	0	8	1	0	0	0	0	0	3	297	57	0	1	18	18	0	26	17	0	4	149	0	0	589	0	42	0	0	0	871	5	77	0	0	9	0	0	9	104	0	26	0	0	0	47	0	84	11	5	61	0	72	0	246	0	9	0	0	0	0	97	302	0	155	0	0	0	1	30	5	0	0	95	8	0	0	0	0	0
OTU_1543	0	0	0	0	1	0	0	0	1	1	0	6	0	2	0	0	0	0	0	0	104	0	0	3	0	0	8	0	0	0	1	0	0	0	0	0	0	0	4	0	0	1	14	0	0	0	0	0	1	4	1	0	0	0	0	0	2	1489	79	0	0	7	7	0	2	2	0	0	35	0	0	68	4	4	0	1	0	1316	3	1	0	0	2	0	0	0	8	0	5	7	0	0	10	0	39	0	14	0	0	3	0	4	0	0	0	0	0	0	0	668	0	0	0	0	0	1	3	1	0	0	9	0	0	0	0	0	0
OTU_12756	0	0	0	0	2	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	4	0	0	0	0	1	0	0	0	0	0	0	9	0	0	3	6	0	0	0	0	0	0	1	6	0	0	0	0	0	0	1	3	0	0	1	0	0	3	0	0	0	0	0	0	15	1	1	0	0	0	3	0	10	0	0	1	0	0	0	3	0	1	0	0	0	0	0	11	0	5	0	0	0	0	0	0	0	0	0	0	0	0	11	0	2	0	0	0	2	1	2	0	0	0	0	0	0	0	0	0
OTU_6756	0	0	0	0	2	0	0	0	2	1	32	6	0	9	0	0	0	0	0	0	5	0	0	14	1	2	10	0	0	0	7	3	0	0	0	0	0	0	3	0	36	4	35	0	2	0	0	0	0	30	1	4	0	0	0	0	0	875	10	0	0	0	2	0	3	15	0	27	285	0	0	29	101	10	0	38	5	169	12	99	0	0	4	0	1	2	20	0	7	0	0	0	8	0	19	4	21	1	0	6	0	6	0	0	0	0	0	0	2	865	0	18	0	0	0	56	3	9	0	0	30	2	0	0	0	0	0
OTU_10682	0	0	0	0	1	0	0	0	1	0	0	9	0	1	0	0	0	0	0	0	1	0	0	4	0	0	6	0	0	0	3	1	0	0	0	0	0	0	9	0	0	4	5	0	0	0	0	0	0	2	6	0	0	0	0	0	0	0	23	0	0	12	33	0	1	0	0	0	32	0	0	60	9	11	0	0	0	0	0	6	0	0	4	0	0	0	6	0	1	0	0	0	26	0	8	0	3	5	0	8	0	45	0	0	0	0	0	0	10	0	0	9	0	0	0	0	7	0	0	0	5	4	0	0	0	0	0
OTU_10608	0	0	0	0	1	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	5	0	0	4	0	0	5	0	0	0	0	6	0	0	0	0	0	0	3	0	0	3	1	0	0	0	0	0	0	5	2	0	0	0	0	0	0	278	17	0	0	2	2	0	2	0	0	0	16	0	0	21	26	3	0	0	0	54	2	0	0	0	2	0	0	0	1	0	0	0	0	0	2	0	10	0	11	1	0	2	0	4	0	0	0	0	0	0	3	54	0	0	0	0	0	1	6	1	0	0	1	0	0	0	0	0	0
OTU_1923	0	0	0	0	3	0	0	0	4	0	0	2	0	0	0	0	0	0	0	0	30	0	0	2	0	0	3	0	0	0	4	0	2	0	0	0	0	0	2	0	2	5	15	0	0	0	0	0	0	6	3	0	0	0	0	0	0	1270	13	0	0	0	0	0	1	6	0	0	193	0	0	15	5	4	1	0	8	539	5	2	0	0	1	0	1	0	7	0	0	0	0	0	16	0	26	1	46	0	0	1	0	5	0	0	0	0	0	0	2	303	0	1	0	0	0	7	3	1	0	1	2	1	0	0	0	0	0
OTU_5313	0	0	0	0	1	0	0	0	4	0	0	4	0	4	0	0	0	0	0	0	7	0	0	1	0	0	9	0	0	0	12	0	0	0	0	0	0	0	8	0	14	4	1	0	0	0	0	0	0	1	6	0	0	0	0	0	1	1191	6	0	0	12	9	0	3	0	0	0	46	0	0	17	2	7	0	0	0	592	1	2	0	0	2	0	0	0	8	0	0	0	0	0	24	0	2	1	6	2	0	10	0	7	0	0	0	0	0	0	7	1631	0	2	0	0	0	8	6	0	0	0	1	6	0	0	0	0	0
OTU_5729	0	0	0	0	2	0	0	0	4	0	1	42	0	14	0	0	0	0	0	0	1	0	0	19	0	0	5	0	0	0	83	5	0	0	0	0	0	0	7	0	0	5	10	0	0	0	0	0	0	3	11	0	0	0	0	0	0	285	3	0	0	36	56	0	11	0	0	0	104	1	0	25	3	69	0	2	0	233	0	17	0	0	1	0	0	3	8	0	0	0	0	0	57	0	35	3	1	17	0	12	0	147	0	0	0	0	0	0	47	1878	0	84	2	0	0	7	6	0	0	0	27	43	0	0	0	0	0
OTU_10288	0	0	0	0	1	0	0	0	2	0	0	6	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	2	0	0	3	0	0	0	0	0	0	0	1	8	0	0	0	0	0	0	85	19	0	0	5	0	0	8	2	0	0	19	0	0	22	0	15	0	0	0	163	0	4	0	0	5	0	0	0	17	0	1	0	0	0	2	0	50	2	1	3	0	4	0	9	0	0	0	0	0	0	3	139	0	7	0	0	0	5	0	0	0	0	2	2	0	0	0	0	0
OTU_3227	0	0	0	0	3	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	2	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	37	5	0	0	0	1	0	0	0	0	0	2	0	0	9	0	0	0	0	0	42	0	0	0	0	1	0	0	0	4	0	1	0	0	0	0	0	0	0	2	0	0	3	0	7	0	0	0	0	0	0	0	26	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0
OTU_2334	0	0	0	0	2	0	0	0	7	0	0	31	0	0	0	0	0	0	0	0	27	0	0	0	0	0	3	0	0	0	26	0	0	1	0	0	0	0	0	0	0	2	2	0	0	0	0	0	0	1	0	0	0	0	0	0	1	21	1	0	0	5	1	0	9	13	0	0	7	0	0	3	0	5	0	10	0	0	1	21	3	0	2	1	0	4	27	0	0	15	0	0	17	0	0	6	1	14	0	11	0	5	0	3	2	0	0	0	10	0	0	80	1	1	0	0	26	0	0	0	1	2	0	0	0	0	0
OTU_3854	0	0	0	0	2	0	0	0	0	0	0	0	0	16	0	0	1	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	1	0	0	0	0	13	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	2	4	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1
OTU_505	0	0	0	0	3	0	2	0	16	0	0	21	0	2	0	0	0	0	0	0	32	0	0	44	0	2	207	0	0	0	9	28	0	0	0	0	0	0	49	0	0	80	168	0	0	0	0	0	1	26	96	0	0	0	0	0	1	1845	113	0	0	67	33	0	18	3	0	0	208	0	0	144	222	53	0	0	0	6098	10	8	0	3	21	0	0	0	70	0	34	0	0	0	133	0	126	0	86	37	0	32	0	38	0	0	0	0	0	0	87	3218	0	12	2	0	0	1	94	4	0	0	15	50	0	0	0	0	0
OTU_4544	0	0	0	0	1	0	0	0	3	0	0	2	0	1	0	0	0	0	0	0	2	0	0	0	0	0	14	0	0	0	11	0	0	0	0	0	0	0	21	0	1	6	0	0	0	0	0	0	0	0	16	0	0	0	0	0	1	1478	11	0	0	9	26	0	2	0	0	0	52	0	0	7	0	2	0	0	0	2419	0	4	0	0	1	0	0	0	1	0	2	0	0	0	4	0	16	2	1	2	0	1	0	7	0	0	0	0	0	0	2	2025	0	2	0	0	0	2	0	0	0	0	0	26	0	0	0	0	0
OTU_419	0	0	0	0	1	0	0	0	18	0	0	31	0	2	0	0	0	0	0	0	4	0	0	3	0	0	42	0	0	0	299	0	0	0	0	0	0	1	78	0	0	9	3	0	0	0	0	0	0	0	58	3	0	0	0	0	2	18349	90	0	9	598	545	0	1	0	0	0	89	0	0	12	0	32	2	0	0	41715	0	2	0	0	4	0	0	2	7	0	1	0	0	0	40	0	20	4	3	2	0	7	0	36	0	0	0	0	0	0	5	8657	0	11	0	0	0	0	1	0	0	0	16	421	0	0	0	0	0
OTU_12021	0	0	0	0	1	0	0	0	1	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	4	7	0	0	0	0	0	0	2	3	0	0	0	0	0	0	105	84	0	0	2	9	0	3	0	0	0	14	0	0	73	1	3	0	0	0	312	0	2	0	0	2	2	0	0	6	0	2	0	0	0	5	0	28	0	1	0	0	2	0	13	0	0	0	0	0	0	0	6	0	2	0	0	0	0	0	0	1	0	1	2	0	0	0	0	0
OTU_2892	0	0	0	0	4	0	1	0	2	0	3	16	0	17	0	0	2	0	0	0	301	0	0	7	0	2	54	0	0	0	1	16	0	0	0	0	0	0	31	0	0	45	80	0	0	0	0	0	0	64	68	0	0	2	0	0	9	1704	174	0	0	21	16	0	9	0	0	0	132	0	0	199	54	43	0	0	2	706	13	5	0	0	40	0	0	2	130	0	39	0	0	0	70	0	361	3	56	12	0	21	0	27	0	0	0	0	0	0	17	230	0	5	0	0	0	33	11	5	0	0	36	8	0	0	0	0	0
OTU_6628	0	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	4	10	0	0	0	0	0	0	580	1	0	0	2	0	0	0	0	0	0	116	0	0	3	8	1	0	1	0	36	1	2	0	0	1	0	0	0	0	0	0	0	0	0	12	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	656	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1
OTU_2467	0	0	0	0	2	0	0	0	28	0	50	6	0	0	0	0	0	0	0	0	7	0	0	6	0	12	125	0	0	0	36	30	0	0	0	0	0	0	157	0	0	34	151	0	0	0	0	0	0	11	51	0	0	0	0	0	0	8394	131	0	1	62	54	0	5	87	0	0	72	0	0	45	159	6	0	18	1	3655	6	20	0	0	5	0	0	0	32	0	44	0	0	0	20	0	31	0	18	0	0	6	0	9	0	0	0	0	0	0	8	1885	0	7	1	0	0	115	10	25	0	0	15	10	0	0	0	0	0
OTU_2391	0	0	0	0	1	0	0	0	16	0	2	83	1	0	0	0	0	0	0	0	207	0	0	31	0	2	86	0	0	0	16	18	0	0	0	0	0	0	68	0	0	7	472	0	0	0	0	0	0	14	17	0	0	0	0	0	8	778	120	0	1	23	35	0	18	8	0	0	125	0	0	594	28	24	19	2	0	1784	10	60	0	0	26	3	0	59	129	0	85	0	0	0	33	0	267	3	5	11	0	42	0	89	0	8	0	0	0	0	32	654	0	58	0	0	0	49	18	9	4	0	276	1	0	0	0	0	0
OTU_11027	0	0	0	0	1	0	0	0	60	0	0	24	0	0	0	0	0	0	0	0	0	0	0	13	0	0	60	0	0	0	163	0	0	0	0	0	0	0	52	0	0	11	30	0	0	0	0	0	0	1	36	0	0	0	0	0	0	6	5	0	0	91	120	0	26	3	0	0	9	0	0	21	1	259	10	0	0	0	0	45	0	0	19	5	0	3	22	0	2	0	0	0	611	0	0	0	3	13	1	45	0	118	0	0	0	0	0	0	44	0	0	29	0	1	0	3	9	13	0	0	20	335	0	0	7	0	0
OTU_7330	0	0	0	0	2	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	28	0	0	265	0	878	0	0	2	0	0	12	0	0	0	0	0	0	0	0	2	0	71	1	0	0	0	0	0	208	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	6	0	0	62	98	0	1	537	0	0	24	120	0	64	0	0	0	0	0	6	6	2	5	0	0	0	237	0	1	27	0	79	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1175	0	641	0	0	73	1	0	0	0	0	0
OTU_10094	0	0	0	0	3	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	9	0	0	1	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	7	3	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	55	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	1	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0
OTU_1864	0	0	0	0	2	0	0	0	27	0	0	119	0	23	0	0	0	0	0	0	3	0	0	128	0	1	34	0	0	0	59	79	0	0	0	0	0	0	9	0	0	21	27	0	0	0	0	0	0	3	32	0	0	0	0	0	2	0	85	0	0	62	53	0	107	7	0	0	91	0	0	578	0	46	0	1	0	18	0	78	0	0	32	0	0	0	156	0	5	0	0	0	42	0	88	3	18	69	0	65	0	313	0	0	0	0	0	0	104	0	0	109	0	0	0	168	71	0	0	0	16	95	0	0	0	0	0
OTU_8418	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	1	0	0	0	0	0	0	229	0	0	0	0	0	0	3	0	0	0	13	3	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	5	0	0	0	0	0	0	0	0	0	0	0	0	124	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0
OTU_2256	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1258	0	0	0	0	0	0	3	0	0	0	3	0	0	2	0	0	0	0	0	107	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	3	0	34	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0
OTU_12298	0	0	0	0	1	0	0	0	0	13	0	0	0	4	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	77	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_6124	0	0	0	0	1	0	0	0	7	0	36	162	0	6	0	0	0	0	0	0	4	0	0	32	0	0	7	0	0	0	46	5	0	0	0	0	0	0	5	0	10	3	7	0	1	0	0	0	0	1	10	0	0	0	0	0	1	4474	18	0	0	50	69	0	9	0	0	0	401	1	0	104	7	48	0	6	0	2559	2	11	0	0	8	3	0	1	16	0	2	0	0	0	61	0	10	4	4	62	1	91	0	271	0	8	0	0	0	0	105	7635	0	156	0	0	0	8	11	0	1	0	63	41	0	0	0	0	0
OTU_7403	0	0	0	0	2	0	0	0	2	0	2	16	0	4	0	0	0	0	0	0	6	0	0	14	0	8	80	0	0	0	9	33	0	0	0	0	0	0	46	0	0	14	31	0	0	0	0	0	0	11	36	0	0	0	0	0	0	0	27	0	0	20	32	0	4	0	0	0	32	1	0	76	12	1	0	0	0	0	3	13	0	0	14	0	0	0	38	0	16	0	0	0	16	0	234	0	31	8	0	35	0	32	0	0	0	0	0	0	6	0	0	1	0	0	0	40	13	0	0	0	46	20	0	0	0	0	0
OTU_3264	0	0	0	0	1	0	0	0	0	1	0	0	0	11	0	0	0	0	0	0	0	0	0	33	2	0	0	0	0	0	0	1	0	0	1	0	0	0	0	5	4	0	2	0	0	0	0	0	0	29	1	0	0	0	0	0	0	141	1	0	0	0	0	0	0	1	0	0	141	11	0	4	14	8	0	0	0	69	12	0	0	0	1	0	0	0	2	0	1	9	0	5	19	0	11	0	18	2	0	2	0	1	0	0	0	1	0	0	10	57	0	1	1	0	0	1	1	10	0	0	2	0	0	0	1	0	0
OTU_519	0	0	0	0	1	0	0	0	9	0	1	4	0	0	0	0	0	0	0	0	3	0	0	1	0	0	18	0	0	0	19	0	0	0	0	0	0	0	22	0	1	9	4	0	0	0	0	0	0	6	14	0	0	0	0	0	1	1087	15	0	0	15	21	0	3	5	0	0	19	0	0	14	5	6	0	1	0	415	3	2	0	0	1	0	0	2	9	0	2	0	0	0	20	0	10	1	7	1	0	6	0	6	0	0	0	0	0	0	0	830	0	6	0	0	0	5	5	0	0	1	8	9	0	0	0	0	0
OTU_8115	0	0	0	0	2	0	0	0	0	0	1	2	0	3	0	0	0	0	0	0	0	0	0	185	0	0	1	0	0	0	4	0	0	0	0	0	0	0	0	0	0	1	3	0	0	0	0	0	0	1	0	0	0	0	0	0	1	244	2	0	0	9	5	0	0	0	0	0	69	0	0	12	0	22	0	0	0	321	0	2	0	0	2	0	0	0	4	0	1	0	0	0	41	0	8	0	7	4	0	6	0	30	0	0	0	0	0	0	22	82	0	15	0	0	0	0	0	0	0	0	11	7	0	0	0	0	0
OTU_6912	0	0	0	0	1	0	0	0	0	1	0	1	0	4	0	0	0	0	0	0	1	0	0	9	0	0	0	0	0	0	1	0	0	3	0	3	0	1	0	0	4	6	0	0	0	0	0	0	0	4	0	1	0	0	0	0	0	224	1	0	0	1	3	0	0	0	0	0	1738	0	0	0	15	5	0	2	1	116	1	0	0	0	0	0	0	0	0	1	1	0	0	0	32	0	3	1	16	5	0	0	0	5	0	0	0	0	0	0	6	204	0	0	0	0	0	0	0	2	0	2	2	3	0	0	0	0	0
OTU_942	0	0	0	0	1	0	1	0	5	0	4	19	0	9	1	0	0	0	1	0	64	0	0	17	0	0	7	0	0	0	0	1	0	0	0	0	0	0	0	0	22	21	88	0	0	0	0	0	0	14	3	1	0	0	0	0	2	1876	40	0	0	1	3	0	9	15	0	0	418	0	0	104	145	16	0	9	0	985	13	12	0	0	20	1	0	1	46	0	26	0	0	1	26	0	162	1	56	14	0	10	0	28	0	0	0	0	0	0	20	912	0	12	0	0	0	74	17	8	0	0	45	0	0	0	0	0	0
OTU_11254	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	64	10	0	0	0	0	0	0	1	0	0	0	0	0	3	0	0	0	0	0	24	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	9	0	4	0	0	0	0	0	0	0	0	0	0	0	0	29	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
OTU_3512	0	0	0	0	1	0	0	0	1	0	2	74	0	22	0	0	0	0	0	0	7	0	0	5	0	0	1	0	0	0	83	0	0	0	0	0	0	0	4	0	0	4	4	0	0	0	0	0	0	0	5	0	0	0	0	0	2	425	11	0	0	81	67	0	6	0	0	0	303	0	0	12	0	22	0	0	0	1225	1	10	0	0	4	0	0	2	11	0	1	0	1	0	44	0	21	9	2	10	0	25	0	125	0	2	0	0	0	0	17	184	0	64	0	0	0	0	3	0	0	0	12	100	0	0	0	0	0
OTU_4110	0	0	0	0	4	0	0	0	0	0	0	2	0	16	0	0	0	0	0	0	3	0	0	51	0	0	14	0	0	0	0	0	0	1	0	0	0	0	0	0	13	12	4	0	0	0	0	0	0	27	28	3	1	0	0	0	3	221	25	0	0	5	2	0	5	1	0	0	536	0	0	27	4	9	0	0	3	178	11	2	0	0	11	0	0	0	24	0	2	0	0	0	62	0	383	3	122	2	1	3	0	4	0	0	0	0	0	0	2	205	0	1	0	0	0	1	2	0	0	0	3	7	0	0	0	0	0
OTU_9862	0	0	0	0	2	0	0	0	2	0	0	4	0	0	0	0	0	0	0	0	0	0	0	7	0	0	57	0	0	0	129	15	0	0	0	0	0	0	13	0	0	44	3	0	0	0	0	0	0	7	11	0	0	0	0	0	4	3	10	0	0	3	9	0	1	0	0	0	193	0	0	25	136	5	0	0	1	1	5	48	0	0	6	0	0	0	31	0	1	0	0	15	131	0	18	0	73	1	0	36	0	15	0	0	0	0	0	0	1	1	0	0	0	0	0	11	20	0	0	0	7	0	0	0	0	0	0
