HFD-5-Fungi-3-1	SD-8-Fungi-2-2	HFD-7-Fungi-2-2	chow-SD-Fungi-3-1	HFD-7-Fungi-1-2	HFD-5-Fungi-2-2	HFD-5-Fungi-3-2	SD-9-Fungi-3-2	SD-9-Fungi-3-1	SD-3-Fungi-3-2	HFD-1-Fungi-1-2	SD-8-Fungi-2-1	SD-8-Fungi-1-1	SD-7-Fungi-1-1	HFD-9-Fungi-2-2	HFD-9-Fungi-3-1	SD-2-Fungi-3-1	HFD-4-Fungi-3-1	SD-9-Fungi-1-2	HFD-8-Fungi-2-2	SD-3-Fungi-3-1	HFD-7-Fungi-1-1	SD-3-Fungi-2-2	SD-2-Fungi-2-1	HFD-6-Fungi-3-1	HFD-9-Fungi-2-1	HFD-5-Fungi-2-1	SD-9-Fungi-2-1	SD-1-Fungi-1-1	HFD-9-Fungi-1-2	HFD-3-Fungi-2-1	HFD-7-Fungi-3-1	SD-2-Fungi-1-2	HFD-6-Fungi-1-2	chow-SD-Fungi-2-1	SD-7-Fungi-3-1	SD-2-Fungi-1-1	HFD-6-Fungi-3-2	SD-8-Fungi-1-2
OTU_154	1	833	726	0	933	928	242	1241	679	1388	227	0	1	0	203	1	2	60	970	477	9	3	784	4	3	0	3	298	0	196	168	1	298	434	0	1	1	194	13
OTU_160	3	0	0	0	0	28	2	0	0	2	0	0	0	0	0	0	12	0	0	0	2	0	0	0	0	0	37	0	0	0	0	0	0	0	0	12	0	0	0
OTU_229	3	0	0	0	0	29	2	0	0	2	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	37	0	0	0	0	0	0	0	0	3	0	0	1
OTU_96	1	0	0	4	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	0	0	0	0	0	1	0	1	0	1	0	0
OTU_149	1	0	0	4	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	0	0	0	0	0	1	0	1	0	1	0	0
OTU_295	1	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0
OTU_340	2	0	0	391	0	0	1	21	15	14	0	0	0	50	0	0	29	1	0	0	14	0	0	0	0	0	39	0	15	0	1	0	0	0	13	54	14	2	0
OTU_81	1	0	1	502	0	0	0	1	0	44	0	0	2	9	0	6	17	0	0	1	42	2	2	0	0	0	0	0	14	0	0	0	3	1	26	92	4	0	0
OTU_15	1	0	1	503	1	0	0	1	0	44	0	0	2	9	0	5	17	0	0	4	37	2	2	0	0	0	0	0	14	0	0	0	3	1	26	92	4	0	0
OTU_263	1	0	0	12	0	0	0	0	0	0	0	0	0	16	0	0	11	0	1	0	10	0	0	5	0	0	0	0	40	0	0	0	7	0	0	12	9	0	0
OTU_116	0	610	1	0	90	0	0	0	0	0	0	0	0	0	1	0	0	0	0	3	0	0	599	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0
OTU_222	0	117	0	1	0	0	0	0	0	0	0	114	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	2	0	0	0	0
OTU_254	0	106	0	18	0	0	0	0	0	0	0	118	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	5	0	0	9	0	0	0	0
OTU_53	0	85	0	45	1	0	0	263	197	27	1	32	1	183	0	0	52	1	693	2	5	0	3	38	0	0	0	685	7	0	3	0	123	0	14	129	22	2	2
OTU_313	0	16	3	0	221	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	1	8	12	2	1	0	0	0	3	33	0	0	0	0	0	1	1	0	0
OTU_20	0	26	107	0	27	0	50	0	0	0	0	0	0	0	3	0	0	0	126	2415	0	0	107	0	0	0	0	0	0	8	0	0	39	0	0	0	0	17	3
OTU_279	0	34	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	95	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0
OTU_8	0	56	0	891	1	0	0	239	208	20	1	89	2	630	0	0	187	3	708	2	20	0	3	133	0	0	0	696	93	0	3	1	124	0	217	417	88	2	2
OTU_97	0	21	0	0	0	0	0	0	0	0	0	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_101	0	21	0	0	0	0	0	0	0	0	0	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_404	0	15	0	63	0	0	0	0	0	0	0	23	0	0	0	0	0	0	0	14	0	0	0	0	3	0	0	0	0	0	0	0	0	0	23	0	0	0	0
OTU_110	0	5	0	0	73	1	2	0	1	0	4	0	0	0	0	0	0	0	56	2	1	0	1	0	0	0	0	0	0	1	0	0	23	13	0	0	1	0	0
OTU_103	0	9	0	19	0	0	0	0	0	3	0	7	0	46	0	0	2	0	0	0	3	0	4	3	0	0	0	0	40	0	0	0	1	0	10	24	0	0	1
